,UM25C Excel,,,,,,
,,,,,2.999935598,<5,5
公司：杭州睿登科技,,表格数据,,,,,
Voltage-Current,,,,,,,
  Time （s）,  Voltage  (V),  Current  (A),,,,,
85,5.171,0.5227,2.7028817,-0.297053898,,,
86,5.172,0.5227,2.7034044,-0.296531198,,,
87,5.172,0.5227,2.7034044,-0.296531198,,,
88,5.172,0.5228,2.7039216,-0.296013998,,,
89,5.172,0.5228,2.7039216,-0.296013998,,,
90,5.17,0.5232,2.704944,-0.294991598,,,
91,5.17,0.5255,2.716835,-0.283100598,,,
92,5.172,0.5234,2.7070248,-0.292910798,,,
93,5.172,0.5369,2.7768468,-0.223088798,,,
94,5.172,0.5369,2.7768468,-0.223088798,,,
95,5.172,0.5234,2.7070248,-0.292910798,,,
96,5.172,0.5369,2.7768468,-0.223088798,,,
97,5.172,0.5232,2.7059904,-0.293945198,,,
98,5.172,0.5232,2.7059904,-0.293945198,,,
99,5.172,0.5232,2.7059904,-0.293945198,,,
100,5.172,0.531,2.746332,-0.253603598,,,
101,5.161,0.8834,4.5592274,1.559291802,,,
102,5.135,0.7583,3.8938705,0.893934902,,,
103,5.095,0.7583,3.8635385,0.863602902,,,
104,5.093,1.219,6.208367,3.208431402,,,
105,5.093,1.232,6.274576,3.274640402,,,
106,5.104,1.2149,6.2008496,3.200914002,,,
107,5.094,1.2149,6.1887006,3.188765002,,,
108,5.093,1.2355,6.2924015,3.292465902,,,
109,5.093,1.2129,6.1772997,3.177364102,,,
110,5.093,1.2404,6.3173572,3.317421602,,,
111,5.094,1.2369,6.3007686,3.300833002,,,
112,5.094,1.2369,6.3007686,3.300833002,,,
113,5.094,1.2294,6.2625636,3.262628002,,,
114,5.092,1.2329,6.2779268,3.277991202,,,
115,5.092,1.2406,6.3171352,3.317199602,,,
116,5.091,1.229,6.256839,3.256903402,,,
117,5.093,1.229,6.259297,3.259361402,,,
118,5.091,1.2416,6.3209856,3.321050002,,,
119,5.091,1.2306,6.2649846,3.265049002,,,
120,5.092,1.2455,6.342086,3.342150402,,,
121,5.091,1.2455,6.3408405,3.340904902,,,
122,5.093,1.2383,6.3066619,3.306726302,,,
123,5.093,1.2312,6.2705016,3.270566002,,,
124,5.093,1.24,6.31532,3.315384402,,,
125,5.091,1.2438,6.3321858,3.332250202,,,
126,5.087,1.2438,6.3272106,3.327275002,,,
127,5.09,1.2546,6.385914,3.385978402,,,
128,5.09,1.2543,6.384387,3.384451402,,,
